SampleID,TubeID,miceID,IP,batch,sex,Sampletype,cage,genotype,genotype_nb,age_harvested,food,Selected
7958a-3644,#3644,#71,7958a,/,F,Saliva,#13,Dp(16)1Yey/+,1,#30,CD,
7958a-3645,#3645,#81,7958a,/,F,Saliva,#13,Dp(16)1Yey/+,1,#30,CD,
7958a-3646,#3646,#100,7958a,/,F,Saliva,#13,+/+,0,#30,CD,
7958a-3647,#3647,#102,7958a,/,F,Saliva,#13,+/+,0,#30,CD,
0E+00,#3648,#30,7958e,A,F,Saliva,#1,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3649,#31,7958e,A,F,Saliva,#1,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3650,#1032,7958e,A,F,Saliva,#1,+/+,0,#07,CD,
0E+00,#3651,#37,7958e,A,F,Saliva,#1,+/+,0,#07,CD,
0E+00,#3652,#49,7958e,A,F,Saliva,#2,+/+,0,#07,CD,
0E+00,#3653,#1051,7958e,A,F,Saliva,#2,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3654,#1052,7958e,A,F,Saliva,#2,+/+,0,#07,CD,
0E+00,#3655,#21,7958e,A,F,Saliva,#2,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3656,#65,7958e,C,F,Saliva,#5,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3657,#66,7958e,C,F,Saliva,#5,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3658,#68,7958e,C,F,Saliva,#5,+/+,0,#07,CD,
0E+00,#3659,#69,7958e,C,F,Saliva,#5,+/+,0,#07,CD,
0E+00,#3660,#28,7958e,D,F,Saliva,#7,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3661,#60,7958e,D,F,Saliva,#7,+/+,0,#07,CD,
0E+00,#3662,#1034,7958e,E,M,Saliva,#9,+/+,0,#07,CD,
0E+00,#3663,#35,7958e,E,M,Saliva,#10,+/+,0,#07,CD,
0E+00,#3664,#100,7958e,E,M,Saliva,#10,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3665,#101,7958e,E,M,Saliva,#10,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3666,#39,7958e,F,M,Saliva,#11,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3667,#82,7958e,F,M,Saliva,#12,+/+,0,#07,CD,
0E+00,#3668,#182,7958e,F,M,Saliva,#12,+/+,0,#07,CD,
0E+00,#3669,#84,7958e,F,M,Saliva,#12,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3670,#32,7958e,G,M,Saliva,#13,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3671,#34,7958e,G,M,Saliva,#14,+/+,0,#07,CD,
0E+00,#3672,#50,7958e,G,M,Saliva,#14,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3673,#51,7958e,G,M,Saliva,#14,+/+,0,#07,CD,
0E+00,#3674,#62,7958e,H,M,Saliva,#16,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3675,#16,7958e,H,M,Saliva,#16,+/+,0,#07,CD,
0E+00,#3676,#30,7958e,A,F,Saliva,#1,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3677,#31,7958e,A,F,Saliva,#1,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3678,#1032,7958e,A,F,Saliva,#1,+/+,0,#30,HFD,
0E+00,#3679,#37,7958e,A,F,Saliva,#1,+/+,0,#30,HFD,
0E+00,#3680,#49,7958e,A,F,Saliva,#2,+/+,0,#30,HFD,
